station_code,valid_from,valid_to,segment_number,n_segments_reported,curve_type,equation_type,stage_min_cm,stage_max_cm,table_stage_step_cm,coefficient_a,coefficient_h0_m,coefficient_n,consistency_level,rating_curve_id,valid_from_dt,valid_to_dt
73600000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,3,4,1,1,206.0,246.0,1.0,102.7694,0.22,1.8,1,73600000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
73765000,1976-01-01 00:00:00.0,2000-09-13 00:00:00.0,1,3,1,1,70.0,101.0,1.0,17.5501,0.66,3.0,2,73765000_1976-01-01 00:00:00.0_2000-09-13 00:00:00.0,1976-01-01,2000-09-13
73765000,1976-01-01 00:00:00.0,2000-09-13 00:00:00.0,2,3,1,1,101.0,191.0,1.0,10.1189,0.62,2.78,2,73765000_1976-01-01 00:00:00.0_2000-09-13 00:00:00.0,1976-01-01,2000-09-13
73765000,1976-01-01 00:00:00.0,2000-09-13 00:00:00.0,3,3,1,1,191.0,700.0,1.0,12.2,0.63,2.11,2,73765000_1976-01-01 00:00:00.0_2000-09-13 00:00:00.0,1976-01-01,2000-09-13
73765000,2000-09-14 00:00:00.0,2007-11-13 00:00:00.0,1,2,1,1,70.0,192.0,1.0,11.7255,0.66,2.5,2,73765000_2000-09-14 00:00:00.0_2007-11-13 00:00:00.0,2000-09-14,2007-11-13
73765000,2000-09-14 00:00:00.0,2007-11-13 00:00:00.0,2,2,1,1,192.0,550.0,1.0,12.2,0.63,2.11,2,73765000_2000-09-14 00:00:00.0_2007-11-13 00:00:00.0,2000-09-14,2007-11-13
73765000,2007-11-14 00:00:00.0,2023-12-31 00:00:00.0,1,3,1,1,60.0,105.0,1.0,20.7478,0.71,2.843,2,73765000_2007-11-14 00:00:00.0_2023-12-31 00:00:00.0,2007-11-14,2023-12-31
73765000,2007-11-14 00:00:00.0,2023-12-31 00:00:00.0,2,3,1,1,105.0,191.0,1.0,10.1189,0.62,2.78,2,73765000_2007-11-14 00:00:00.0_2023-12-31 00:00:00.0,2007-11-14,2023-12-31
73765000,2007-11-14 00:00:00.0,2023-12-31 00:00:00.0,3,3,1,1,191.0,700.0,1.0,12.2,0.63,2.11,2,73765000_2007-11-14 00:00:00.0_2023-12-31 00:00:00.0,2007-11-14,2023-12-31
73765000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,1,3,1,1,49.0,101.0,1.0,5.3207,0.46,3.788,1,73765000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
73765000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,2,3,1,1,101.0,154.0,1.0,17.0435,0.85,1.871,1,73765000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
73765000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,3,3,1,1,154.0,850.0,1.0,26.8732,1.08,1.48,1,73765000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
73770000,1979-01-01 00:00:00.0,2000-10-15 00:00:00.0,1,,1,1,30.0,1100.0,1.0,99.22,0.15,1.543,2,73770000_1979-01-01 00:00:00.0_2000-10-15 00:00:00.0,1979-01-01,2000-10-15
73770000,2000-10-16 00:00:00.0,2011-09-08 00:00:00.0,1,2.0,1,1,20.0,500.0,1.0,85.4754,0.05,1.668,2,73770000_2000-10-16 00:00:00.0_2011-09-08 00:00:00.0,2000-10-16,2011-09-08
73770000,2000-10-16 00:00:00.0,2011-09-08 00:00:00.0,2,2.0,1,1,500.0,800.0,1.0,85.4754,-0.59,1.55,2,73770000_2000-10-16 00:00:00.0_2011-09-08 00:00:00.0,2000-10-16,2011-09-08
73770000,2011-09-09 00:00:00.0,2015-07-14 00:00:00.0,1,2.0,1,1,40.0,265.0,1.0,93.748,0.14,1.598,2,73770000_2011-09-09 00:00:00.0_2015-07-14 00:00:00.0,2011-09-09,2015-07-14
73770000,2011-09-09 00:00:00.0,2015-07-14 00:00:00.0,2,2.0,1,1,265.0,1000.0,1.0,99.22,0.15,1.543,2,73770000_2011-09-09 00:00:00.0_2015-07-14 00:00:00.0,2011-09-09,2015-07-14
73770000,2015-07-15 00:00:00.0,2023-12-31 00:00:00.0,1,3.0,1,1,10.0,110.0,1.0,81.2847,0.02,1.837,2,73770000_2015-07-15 00:00:00.0_2023-12-31 00:00:00.0,2015-07-15,2023-12-31
73770000,2015-07-15 00:00:00.0,2023-12-31 00:00:00.0,2,3.0,1,1,110.0,470.0,1.0,106.15,0.18,1.505,2,73770000_2015-07-15 00:00:00.0_2023-12-31 00:00:00.0,2015-07-15,2023-12-31
73770000,2015-07-15 00:00:00.0,2023-12-31 00:00:00.0,3,3.0,1,1,470.0,1200.0,1.0,99.22,0.15,1.543,2,73770000_2015-07-15 00:00:00.0_2023-12-31 00:00:00.0,2015-07-15,2023-12-31
73770000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,1,3.0,1,1,5.0,110.0,1.0,81.2847,0.02,1.837,1,73770000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
73770000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,2,3.0,1,1,110.0,470.0,1.0,106.15,0.18,1.505,1,73770000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
73770000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,3,3.0,1,1,470.0,1200.0,1.0,99.22,0.15,1.543,1,73770000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
73900000,1953-01-01 00:00:00.0,1954-07-14 00:00:00.0,1,3.0,1,1,40.0,99.0,1.0,30.4024,0.29,1.5,2,73900000_1953-01-01 00:00:00.0_1954-07-14 00:00:00.0,1953-01-01,1954-07-14
73900000,1953-01-01 00:00:00.0,1954-07-14 00:00:00.0,2,3.0,1,1,99.0,161.0,1.0,42.381,0.42,1.54,2,73900000_1953-01-01 00:00:00.0_1954-07-14 00:00:00.0,1953-01-01,1954-07-14
73900000,1953-01-01 00:00:00.0,1954-07-14 00:00:00.0,3,3.0,1,1,161.0,400.0,1.0,32.2883,0.21,1.6,2,73900000_1953-01-01 00:00:00.0_1954-07-14 00:00:00.0,1953-01-01,1954-07-14
73900000,1954-07-15 00:00:00.0,1954-07-28 00:00:00.0,1,,1,1,130.0,350.0,1.0,49.7485,0.94,1.5,2,73900000_1954-07-15 00:00:00.0_1954-07-28 00:00:00.0,1954-07-15,1954-07-28
73900000,1954-07-29 00:00:00.0,1959-05-27 00:00:00.0,1,4.0,1,1,30.0,67.0,1.0,29.7843,0.24,2.7,2,73900000_1954-07-29 00:00:00.0_1959-05-27 00:00:00.0,1954-07-29,1959-05-27
73900000,1954-07-29 00:00:00.0,1959-05-27 00:00:00.0,2,4.0,1,1,67.0,110.0,1.0,40.92,0.48,1.557,2,73900000_1954-07-29 00:00:00.0_1959-05-27 00:00:00.0,1954-07-29,1959-05-27
73900000,1954-07-29 00:00:00.0,1959-05-27 00:00:00.0,3,4.0,1,1,110.0,382.0,1.0,34.3723,0.4,1.6,2,73900000_1954-07-29 00:00:00.0_1959-05-27 00:00:00.0,1954-07-29,1959-05-27
73900000,1954-07-29 00:00:00.0,1959-05-27 00:00:00.0,4,4.0,1,1,382.0,450.0,1.0,34.4,0.64,1.7,2,73900000_1954-07-29 00:00:00.0_1959-05-27 00:00:00.0,1954-07-29,1959-05-27
73900000,1959-05-28 00:00:00.0,1975-12-08 00:00:00.0,1,3.0,1,1,40.0,130.0,1.0,25.2,0.37,1.9,2,73900000_1959-05-28 00:00:00.0_1975-12-08 00:00:00.0,1959-05-28,1975-12-08
73900000,1959-05-28 00:00:00.0,1975-12-08 00:00:00.0,2,3.0,1,1,130.0,214.0,1.0,24.9537,0.37,1.769,2,73900000_1959-05-28 00:00:00.0_1975-12-08 00:00:00.0,1959-05-28,1975-12-08
