station_code,valid_from,valid_to,segment_number,n_segments_reported,curve_type,equation_type,stage_min_cm,stage_max_cm,table_stage_step_cm,coefficient_a,coefficient_h0_m,coefficient_n,consistency_level,rating_curve_id,valid_from_dt,valid_to_dt
73960000,2008-10-06 00:00:00.0,2015-01-02 00:00:00.0,2,2,1,1,241.0,800.0,1.0,295.9724,1.17,1.51,2,73960000_2008-10-06 00:00:00.0_2015-01-02 00:00:00.0,2008-10-06,2015-01-02
73960000,2015-01-03 00:00:00.0,2017-11-04 00:00:00.0,1,3,1,1,120.0,184.0,1.0,240.8253,1.03,1.87,2,73960000_2015-01-03 00:00:00.0_2017-11-04 00:00:00.0,2015-01-03,2017-11-04
73960000,2015-01-03 00:00:00.0,2017-11-04 00:00:00.0,2,3,1,1,184.0,416.0,1.0,360.8836,1.28,1.376,2,73960000_2015-01-03 00:00:00.0_2017-11-04 00:00:00.0,2015-01-03,2017-11-04
73960000,2015-01-03 00:00:00.0,2017-11-04 00:00:00.0,3,3,1,1,416.0,950.0,1.0,295.9724,1.17,1.51,2,73960000_2015-01-03 00:00:00.0_2017-11-04 00:00:00.0,2015-01-03,2017-11-04
73960000,2017-11-05 00:00:00.0,2022-03-24 00:00:00.0,1,3,1,1,109.0,265.0,1.0,226.0917,1.0,1.8,2,73960000_2017-11-05 00:00:00.0_2022-03-24 00:00:00.0,2017-11-05,2022-03-24
73960000,2017-11-05 00:00:00.0,2022-03-24 00:00:00.0,2,3,1,1,265.0,416.0,1.0,360.8836,1.28,1.376,2,73960000_2017-11-05 00:00:00.0_2022-03-24 00:00:00.0,2017-11-05,2022-03-24
73960000,2017-11-05 00:00:00.0,2022-03-24 00:00:00.0,3,3,1,1,416.0,950.0,1.0,295.9724,1.17,1.51,2,73960000_2017-11-05 00:00:00.0_2022-03-24 00:00:00.0,2017-11-05,2022-03-24
73960000,2022-03-25 00:00:00.0,2023-12-31 00:00:00.0,1,3,1,1,120.0,267.0,1.0,236.9613,1.04,1.79,2,73960000_2022-03-25 00:00:00.0_2023-12-31 00:00:00.0,2022-03-25,2023-12-31
73960000,2022-03-25 00:00:00.0,2023-12-31 00:00:00.0,2,3,1,1,267.0,416.0,1.0,360.8836,1.28,1.376,2,73960000_2022-03-25 00:00:00.0_2023-12-31 00:00:00.0,2022-03-25,2023-12-31
73960000,2022-03-25 00:00:00.0,2023-12-31 00:00:00.0,3,3,1,1,416.0,950.0,1.0,295.9724,1.17,1.51,2,73960000_2022-03-25 00:00:00.0_2023-12-31 00:00:00.0,2022-03-25,2023-12-31
73960000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,1,3,1,1,105.0,195.0,1.0,233.4999,1.01,1.869,1,73960000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
73960000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,2,3,1,1,195.0,396.0,1.0,360.8836,1.28,1.376,1,73960000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
