codigoestacao,veredicto,n_vigencias,vigencia_min,vigencia_max,huecos_vigencia_post_2000,cota_min_cm,cota_max_cm,n_aforos_desde_2000,aforo_datetime_min,aforo_datetime_max,mape_validacion
72715000,sospechosa,11.0,1976-01-01 00:00:00.0,2023-12-31 00:00:00.0,0.0,50.0,500.0,108.0,2000-04-20 07:00:00,2026-03-02 10:51:00,0.22036527013468735
72805020,sin_curva,,,,,,,,,,
72805040,sin_curva,,,,,,,,,,
72805790,sin_curva,,,,,,,,,,
72806000,sin_curva,,,,,,,,,,
72810000,usable,6.0,1976-01-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,50.0,550.0,103.0,2000-04-14 07:00:00,2026-02-27 09:47:00,0.10090548689907251
72815000,sin_curva,,,,,,,,,,
72815500,sin_curva,,,,,,,,,,
72816000,sin_curva,,,,,,,,,,
72816100,sin_curva,,,,,,,,,,
72817000,sin_curva,,,,,,,,,,
72818000,sin_curva,,,,,,,,,,
72848200,sin_curva,,,,,,,,,,
72848997,sin_curva,,,,,,,,,,
72849000,usable,4.0,1985-01-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,30.0,1050.0,98.0,2000-04-19 07:00:00,2026-02-26 10:36:00,0.09570323320483988
72850100,sin_curva,,,,,,,,,,
72850140,sin_curva,,,,,,,,,,
72859500,sin_curva,,,,,,,,,,
72860000,sin_curva,,,,,,,,,,
72860080,sin_curva,,,,,,,,,,
72860100,sin_curva,,,,,,,,,,
72870100,sin_curva,,,,,,,,,,
72870200,sin_curva,,,,,,,,,,
72870250,sin_curva,,,,,,,,,,
72870260,sin_curva,,,,,,,,,,
72870350,sin_curva,,,,,,,,,,
72870500,sin_curva,,,,,,,,,,
72870900,sin_curva,,,,,,,,,,
72880000,sin_curva,,,,,,,,,,
72920500,sin_curva,,,,,,,,,,
72920800,sin_curva,,,,,,,,,,
72921300,sin_curva,,,,,,,,,,
72921450,sin_curva,,,,,,,,,,
73100000,sin_curva,,,,,,,,,,
73100400,sin_curva,,,,,,,,,,
73100520,sin_curva,,,,,,,,,,
73101000,sin_curva,,,,,,,,,,
73102000,sin_curva,,,,,,,,,,
73140000,sin_curva,,,,,,,,,,
73140200,sin_curva,,,,,,,,,,
73149950,sin_curva,,,,,,,,,,
73149990,sin_curva,,,,,,,,,,
73170000,sin_curva,,,,,,,,,,
73170300,sin_curva,,,,,,,,,,
73170350,sin_curva,,,,,,,,,,
73200080,sin_curva,,,,,,,,,,
