cota_cm,cota_m,vazao_m3s,rating_curve_id,segment_number,vigencia_inicio,vigencia_fin,coeficiente_a,coeficiente_h0_cm,coeficiente_n
114.0,1.14,377.515,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
115.0,1.15,384.249,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
116.0,1.16,391.043,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
117.0,1.17,397.897,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
118.0,1.18,404.812,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
119.0,1.19,411.786,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
120.0,1.2,418.821,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
121.0,1.21,425.916,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
122.0,1.22,433.071,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
123.0,1.23,440.286,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
124.0,1.24,447.562,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
125.0,1.25,454.898,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
126.0,1.26,462.294,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
127.0,1.27,469.75,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
128.0,1.28,477.267,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
129.0,1.29,484.844,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
